Seconds,Value.X,Value.Y,Value.Z,Value.Length,Value.LengthFast,Value.LengthSquared
7.2590000000000003,0,0,3.95999813,3.95999813,3.96663499,15.6815853
7.4429999999999996,0,0,3.83999825,3.83999825,3.84499621,14.7455864
7.4589999999999996,0,0,3.71999836,3.71999836,3.72028518,13.8383875
7.4669999999999996,0,0,3.59999847,3.59999847,3.60056257,12.9599886
7.4669999999999996,0,0,3.47999859,3.47999859,3.48271775,12.1103897
7.4829999999999997,0,0,3.3599987,3.3599987,3.36475849,11.2895908
7.5069999999999997,0,0,3.23999882,3.23999882,3.24563813,10.497592
7.7069999999999999,0,0,3.11999893,3.11999893,3.1250844,9.73439312
7.7309999999999999,0,0,2.99999905,2.99999905,3.00342798,8.99999428
7.7309999999999999,0,0,2.87999916,2.87999916,2.88142633,8.29439545
7.7469999999999999,0,0,2.75999928,2.75999928,2.76190543,7.61759615
7.7549999999999999,0,0,2.63999939,2.63999939,2.64370751,6.96959686
7.7629999999999999,0,0,2.5199995,2.5199995,2.52400422,6.35039759
7.9870000000000001,0,0,2.39999962,2.39999962,2.40274405,5.75999832
7.9950000000000001,0,0,2.27999973,2.27999973,2.28089261,5.19839859
8.0030000000000001,0,0,2.15999985,2.15999985,2.16000605,4.66559935
8.0190000000000001,0,0,2.03999996,2.03999996,2.04186106,4.16159964
8.0269999999999992,0,0,1.91999996,1.91999996,1.92249894,3.68639994
8.0510000000000002,0,0,1.79999995,1.79999995,1.80028212,3.23999977
8.2349999999999994,0,0,1.67999995,1.67999995,1.68237972,2.82239985
8.2430000000000003,0,0,1.55999994,1.55999994,1.56254268,2.43359971
8.2509999999999994,0,0,1.43999994,1.43999994,1.44071341,2.07359982
8.2669999999999995,0,0,1.31999993,1.31999993,1.321854,1.74239981
8.2750000000000004,0,0,1.19999993,1.19999993,1.20137215,1.43999982
8.2829999999999995,0,0,1.07999992,1.07999992,1.08000302,1.16639984
9.5470000000000006,0,0,0.959999919,0.959999919,0.961249352,0.921599865
9.5790000000000006,0,0,0.839999914,0.839999914,0.841189802,0.705599844
9.5950000000000006,0,0,0.719999909,0.719999909,0.720356703,0.518399894
9.6029999999999998,0,0,0.599999905,0.599999905,0.600686014,0.359999895
9.6270000000000007,0,0,0.4799999,0.4799999,0.480624646,0.230399907
9.6590000000000007,0,0,0.359999895,0.359999895,0.360178292,0.129599929
9.907,0,0,0.4799999,0.4799999,0.480624646,0.230399907
9.9149999999999991,0,0,0.599999905,0.599999905,0.600686014,0.359999895
9.9309999999999992,0,0,0.719999909,0.719999909,0.720356703,0.518399894
9.9550000000000001,0,0,0.839999914,0.839999914,0.841189802,0.705599844
9.9710000000000001,0,0,0.959999919,0.959999919,0.961249352,0.921599865
10.026999999999999,0,0,1.07999992,1.07999992,1.08000302,1.16639984
